id,route_id,sdvrp_constraint_number,sdvrp_constraint_customer_code,sdvrp_constraint_vehicle_code,
1,2946091,1,921336,875-M-523, 
2,2946091,2,131768,875-M-523, 
3,2946091,3,15208,875-M-523, 
4,2946091,4,132531,O76-T-703, 
5,2946091,5,132531,875-M-523, 
6,2946091,6,1439,O76-T-702, 
7,2946091,7,1439,O76-T-703, 
8,2946091,8,1439,875-M-523, 
9,2946091,9,142995,875-M-523, 
10,2946091,10,142995,O76-T-702, 
11,2946091,11,142995,O76-T-703, 
12,2946091,12,921003,875-M-523, 
13,2946091,13,921003,O76-T-702, 
14,2946091,14,921003,O76-T-703, 
15,2946091,15,921733,875-M-523, 
16,2946091,16,131248,875-M-523, 
17,2946091,17,140401,875-M-523, 
18,2946091,18,920968,875-M-523, 
19,2946091,19,922327,875-M-523, 
20,2946091,20,923124,875-M-523, 
21,2946091,21,920968,O76-T-703, 
22,2946091,22,140401,O76-T-703, 
23,2946091,23,131248,O76-T-703, 
24,2946091,24,922327,O76-T-703, 
25,2946091,25,923124,O76-T-703, 
26,2946091,26,921336,O76-T-703, 
27,2946091,27,131248,O76-T-702, 
28,2946091,28,140401,O76-T-702, 
29,2946091,29,920968,O76-T-702, 
30,2946091,30,922327,O76-T-702, 
31,2946091,31,923124,O76-T-702, 
32,2946091,32,921336,O76-T-702, 
33,2946091,33,140401,A08-J-522, 
34,2946091,34,1805,875-M-523, 
35,2946091,35,1016,875-M-523, 
36,2946091,36,922075,875-M-523, 
37,2946091,37,132531,O76-T-702, 
38,2946091,38,131249,O76-T-702, 
39,2922001,1,15020,875-M-523, 
40,2922001,2,139007,875-M-523, 
41,2922001,3,15251,875-M-523, 
42,2922001,4,136088,875-M-523, 
43,2922001,5,15249,875-M-523, 
44,2922001,6,15247,875-M-523, 
45,2922001,7,15328,875-M-523, 
46,2922001,8,15250,875-M-523, 
47,2922001,9,15206,875-M-523, 
48,2922001,10,139007,O78-K-074, 
49,2922001,11,139007,O76-T-702, 
50,2922001,12,139007,O76-T-703, 
51,2922001,13,139007,T14-E-264, 
52,2922001,14,139007,A08-J-522, 
53,2922001,15,138089,T14-E-264, 
54,2922001,16,138089,O78-K-074, 
55,2922001,17,138089,O76-T-703, 
56,2922001,18,138089,O76-T-702, 
57,2922001,19,138089,A08-J-522, 
58,2922001,20,138089,875-M-523, 
59,2922001,21,15021,875-M-523, 
60,2922001,22,15249,O76-T-702, 
61,2922001,23,15249,O76-T-703, 
62,2922001,24,15249,A08-J-522, 
63,2922001,25,15247,O76-T-702, 
64,2922001,26,15247,O76-T-703, 
65,2922001,27,15247,A08-J-522, 
66,2922001,28,133290,875-M-523, 
67,2922001,29,133290,O76-T-702, 
68,2922001,30,133290,O76-T-703, 
69,2922001,31,15026,875-M-523, 
70,2922001,32,15026,O76-T-703, 
71,2922001,33,15021,O76-T-703, 
72,2922001,34,136088,O76-T-703, 
73,2922001,35,15206,O76-T-703, 
74,2922001,36,15026,O76-T-702, 
75,2922001,37,136088,O76-T-702, 
76,2922001,38,15021,O76-T-702, 
77,2922001,39,15206,O76-T-702, 
78,2922001,40,1805,875-M-523, 
79,2922001,41,7525,875-M-523, 
80,2922001,42,740,875-M-523, 
81,2922001,43,139007,A69-O-649, 
82,2939484,1,921336,875-M-523, 
83,2939484,2,132531,O76-T-703, 
84,2939484,3,132531,875-M-523, 
85,2939484,4,921003,875-M-523, 
86,2939484,5,921003,O76-T-702, 
87,2939484,6,921003,O76-T-703, 
88,2939484,7,920968,875-M-523, 
89,2939484,8,1564,875-M-523, 
90,2939484,9,920968,O76-T-703, 
91,2939484,10,921336,O76-T-703, 
92,2939484,11,1564,O76-T-703, 
93,2939484,12,920968,O76-T-702, 
94,2939484,13,921336,O76-T-702, 
95,2939484,14,1564,O76-T-702, 
96,2939484,15,131251,875-M-523, 
97,2939484,16,1149,875-M-523, 
98,2939484,17,132531,O76-T-702, 
99,2958047,1,921336,875-M-523, 
100,2958047,2,131768,875-M-523, 
101,2958047,3,15208,875-M-523, 
102,2958047,4,132531,O76-T-703, 
103,2958047,5,132531,875-M-523, 
104,2958047,6,142995,875-M-523, 
105,2958047,7,142995,O76-T-702, 
106,2958047,8,142995,O76-T-703, 
107,2958047,9,921003,875-M-523, 
108,2958047,10,921003,O76-T-702, 
109,2958047,11,921003,O76-T-703, 
110,2958047,12,921733,875-M-523, 
111,2958047,13,131248,875-M-523, 
112,2958047,14,140805,875-M-523, 
