id,route_id,vehicle_code,customer_in_vehicle_route_order_number,customer_code,customer_latitude,customer_longitude,come_to_the_customer_at_min,distance_between_two_last_customers_km,total_distance_to_customer_km,total_delivery_time_min,customer_time_window,
1,2946091,A08-J-522,0,1000,43.37391833,17.60171712,479.119,0.0,0.0,0.0,0, 
2,2946091,A08-J-522,1,145229,43.37916,17.60656,481.0,0.847,0.847,9.73, - , 
3,2946091,A08-J-522,2,145160,43.37824092,17.56334723,495.581,3.953,4.8,10.18, - , 
4,2946091,A08-J-522,3,136297,43.39054161,17.48520785,512.713,6.744,11.544,7.93, - , 
5,2946091,A08-J-522,4,1387,43.4646396,17.34455414,538.892,17.722,29.266,15.69, - , 
6,2946091,A08-J-522,5,145171,43.47044321,17.33773203,555.99,1.166,30.432,9.06, - , 
7,2946091,A08-J-522,6,1998,43.54998018,17.42732548,582.639,16.467,46.899,8.05, - , 
8,2946091,A08-J-522,7,131336,43.63608,17.30644,615.791,18.225,65.124,10.16,08:00 - 15:00, 
9,2946091,A08-J-522,8,923951,43.71415,17.23876,640.647,12.261,77.385,7.79, - , 
10,2946091,A08-J-522,9,10538,43.71415,17.23875,648.437,0.001,77.386,15.92, - , 
11,2946091,A08-J-522,10,141727,43.71657,17.23185,665.578,0.708,78.094,8.22, - , 
12,2946091,A08-J-522,11,15221,43.71695937,17.23264032,674.524,0.226,78.32,9.12, - , 
13,2946091,A08-J-522,12,137381,43.71619,17.2317,684.282,0.2,78.52,15.27,08:00 - 15:00, 
14,2946091,A08-J-522,13,1665,43.71608,17.23162,699.794,0.077,78.597,8.8, - , 
15,2946091,A08-J-522,14,923762,43.715555,17.230788,708.935,0.138,78.735,9.36, - , 
16,2946091,A08-J-522,15,131332,43.71489,17.22924,718.68,0.187,78.922,7.77,08:00 - 15:00, 
17,2946091,A08-J-522,16,921042,43.71562,17.22894,726.56,0.084,79.006,9.42, - , 
18,2946091,A08-J-522,17,143559,43.71763,17.22673,736.365,0.289,79.295,13.07, - , 
19,2946091,A08-J-522,18,131334,43.71959,17.22727,749.897,0.35,79.645,11.16,08:00 - 15:00, 
